Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min Salary,Max Salary
Data Scientist,3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,79000.0,131000.0
Data Scientist,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,,79000.0,131000.0
Global Data Analyst,3.8,Dermalogica,"Carson, CA","Carson, CA",201 to 500 employees,1986.0,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's",79000.0,131000.0
Data Engineer,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",1001 to 5000 employees,1995.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,79000.0,131000.0
Data Scientist,3.7,Via Transportation,"New York, NY","New York, NY",501 to 1000 employees,2012.0,Company - Private,Internet,Information Technology,,,79000.0,131000.0
Data Scientist,4.0,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent",79000.0,131000.0
Data & Machine Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,79000.0,131000.0
Data Scientist - Machine Learning,2.5,CareDx,"Brisbane, CA","Brisbane, CA",1 to 50 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,Sequenom,79000.0,131000.0
Data Engineer (Remote),4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",79000.0,131000.0
"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,79000.0,131000.0
Principal Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,79000.0,131000.0
Business Data Analyst,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",79000.0,131000.0
Purification Scientist,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,"Thermo Fisher Scientific, Enzymatics, Illumina",79000.0,131000.0
Data Analyst,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",1001 to 5000 employees,2001.0,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),"CUNA Mutual, SWBC, Overby-Seawell",79000.0,131000.0
"Data Engineer, Enterprise Analytics",3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,"EmblemHealth, UnitedHealth Group, Aetna",79000.0,131000.0
Data Scientist,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019.0,Company - Private,Internet,Information Technology,,Zola Registry,79000.0,131000.0
Data Scientist,2.9,IFG Companies,"New York, NY","Hartford, CT",201 to 500 employees,1985.0,Company - Private,Insurance Carriers,Insurance,,"Colony Specialty, Markel, RLI",79000.0,131000.0
Data Scientist 3 (718),3.3,Amyris,"Emeryville, CA","Emeryville, CA",201 to 500 employees,2003.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,79000.0,131000.0
"Real World Science, Data Scientist",4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",79000.0,131000.0
Data Scientist,3.6,Powertek,"Washington, DC","Rockville, MD",51 to 200 employees,2001.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),,79000.0,131000.0
Data Engineer,4.7,Object Partners,"Saint Louis, MO","Minneapolis, MN",51 to 200 employees,1996.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)",79000.0,131000.0
Data Scientist - Image and Video Analytics,4.9,The Mom Project,"Longmont, CO","Chicago, IL",1 to 50 employees,2016.0,Company - Private,Staffing & Outsourcing,Business Services,,,79000.0,131000.0
Data Scientist,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",51 to 200 employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,79000.0,131000.0
"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2010.0,Company - Private,Internet,Information Technology,,"Braintree, Authorize.Net, PayPal",79000.0,131000.0
Data Analyst,2.6,Comprehensive Healthcare,"Yakima, WA","Yakima, WA",501 to 1000 employees,1971.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,79000.0,131000.0
Data Scientist / Applied Mathematician,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),,79000.0,131000.0
Machine Learning Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,,79000.0,131000.0
Data Scientist,3.9,Mars,United States,"Mc Lean, VA",10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,79000.0,131000.0
Patient Safety- Associate Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",79000.0,131000.0
Machine Learning Engineer,4.4,NuWave Solutions,"Springfield, VA","Mc Lean, VA",51 to 200 employees,1999.0,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,79000.0,131000.0
Senior Data Scientist,4.2,ManTech,"Alexandria, VA","Herndon, VA",5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,79000.0,131000.0
(Sr.) Data Scientist -,3.6,Merrick Bank,Utah,"South Jordan, UT",201 to 500 employees,1997.0,Company - Private,Banks & Credit Unions,Finance,,,79000.0,131000.0
Data Scientist,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",1001 to 5000 employees,1986.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,99000.0,132000.0
Staff Data Scientist - Analytics,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",99000.0,132000.0
Data Analytics Engineer,3.5,QOMPLX,"Reston, VA","Reston, VA",51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,99000.0,132000.0
"Data Scientist, Kinship - NYC/Portland",3.9,Mars,"New York, NY","Mc Lean, VA",10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,99000.0,132000.0
Senior Data Scientist,3.8,GutCheck,"Denver, CO","Denver, CO",51 to 200 employees,2009.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey",99000.0,132000.0
Applied Technology Researcher / Data Scientist,3.5,Inter-American Development Bank,"Washington, DC","Washington, DC",1001 to 5000 employees,1959.0,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),"The World Bank, IMF",99000.0,132000.0
Data Scientist,4.9,Avlino,New Jersey,"Holmdel, NJ",1 to 50 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),,99000.0,132000.0
Machine Learning Engineer,4.4,Stratagem Group,"Aurora, CO","Aurora, CO",1 to 50 employees,2007.0,Company - Private,Aerospace & Defense,Aerospace & Defense,,,99000.0,132000.0
Health Data Scientist - Biomedical/Biostats,4.1,Evidation,"Santa Barbara, CA","San Mateo, CA",51 to 200 employees,2012.0,Company - Private,Internet,Information Technology,,,99000.0,132000.0
Senior Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,99000.0,132000.0
Staff Data Scientist,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",99000.0,132000.0
Data Scientist,3.8,Tecolote Research,"Hill AFB, UT","Goleta, CA",501 to 1000 employees,1973.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),,99000.0,132000.0
Sr Data Engineer (Sr BI Developer),3.2,Tivity Health,"Chandler, AZ","Franklin, TN",501 to 1000 employees,1981.0,Company - Public,Health Care Services & Hospitals,Health Care,,,99000.0,132000.0
Data Engineer,2.9,hc1,"Indianapolis, IN","Indianapolis, IN",51 to 200 employees,2011.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,99000.0,132000.0
Lead Data Scientist,4.1,HP Inc.,"San Diego, CA","Palo Alto, CA",10000+ employees,1939.0,Company - Public,Computer Hardware & Software,Information Technology,,,99000.0,132000.0
Data Scientist,3.7,SAIC,"Chantilly, VA","Reston, VA",10000+ employees,2013.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International",99000.0,132000.0
RFP Data Analyst,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,99000.0,132000.0
Data Analyst,4.9,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",51 to 200 employees,2013.0,Subsidiary or Business Segment,Video Games,Media,,,99000.0,132000.0
Data Scientist (TS/SCI),3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,99000.0,132000.0
Data Engineer,5.0,Phantom AI,"Burlingame, CA","Burlingame, CA",1 to 50 employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,,,99000.0,132000.0
Data Scientist,4.0,Noblis,"Reston, VA","Reston, VA",1001 to 5000 employees,1996.0,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI",99000.0,132000.0
Data Scientist,3.6,Spring Health,"New York, NY","New York, NY",1 to 50 employees,2016.0,Company - Private,Health Care Services & Hospitals,Health Care,,,99000.0,132000.0
Software Engineer - Data Science,4.0,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2002.0,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),,99000.0,132000.0
Data Analyst/Engineer,3.2,AllianceBernstein,"Nashville, TN","New York, NY",1001 to 5000 employees,1967.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,99000.0,132000.0
NGS Scientist,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",51 to 200 employees,2019.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,99000.0,132000.0
Data Engineer,4.8,GetWellNetwork,"Bethesda, MD","Bethesda, MD",201 to 500 employees,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Epic, CipherHealth",99000.0,132000.0
Data Scientist,4.5,TACG Solutions,"Dayton, OH","Beavercreek, OH",51 to 200 employees,2006.0,Company - Private,Consulting,Business Services,,"Copper River Shared Services, Chenega Corporation, Deloitte",99000.0,132000.0
Senior Data Engineer,4.7,Scoop,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2015.0,Company - Private,Internet,Information Technology,,,99000.0,132000.0
Senior Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",99000.0,132000.0
Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",99000.0,132000.0
Business Intelligence Analyst,3.4,Montway Inc,"Schaumburg, IL","Schaumburg, IL",51 to 200 employees,2006.0,Company - Private,Shipping,Transportation & Logistics,,,99000.0,132000.0
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,99000.0,132000.0
Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016.0,Company - Private,IT Services,Information Technology,,"Slalom, Daugherty Business Solutions",90000.0,109000.0
Data Scientist,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,90000.0,109000.0
Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",90000.0,109000.0
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",5001 to 10000 employees,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,90000.0,109000.0
Data Scientist,5.0,Notion Labs,"San Francisco, CA","San Francisco, CA",1 to 50 employees,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,90000.0,109000.0
Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011.0,Company - Private,Lending,Finance,$50 to $100 million (USD),,90000.0,109000.0
Data Engineer,4.4,Direct Agents,"Culver City, CA","New York, NY",51 to 200 employees,2003.0,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),,90000.0,109000.0
